iter	Logloss
180	0.1327725509
181	0.1312688423
182	0.130140716
183	0.1298878654
184	0.1287317328
185	0.1285876369
186	0.126954106
187	0.126762337
188	0.1253390218
189	0.1237561976
190	0.1222708287
191	0.1212555393
192	0.1197781515
193	0.1191135153
194	0.1177202351
195	0.1164222365
196	0.1162561528
197	0.1152904951
198	0.11456899
199	0.1139865369
200	0.113916181
201	0.1127298229
202	0.1117743319
203	0.1107330023
204	0.1106573107
205	0.109675399
206	0.1091007881
207	0.108250023
208	0.1073582191
209	0.1064592469
210	0.1060736787
211	0.1060111622
212	0.1050820842
213	0.1044327947
214	0.1041125928
215	0.1040328978
216	0.1032606836
217	0.1029049499
218	0.101941799
219	0.1009485654
220	0.1000088706
221	0.09906933323
222	0.09819325526
223	0.09812907391
224	0.09712974287
225	0.09633791322
226	0.09563049845
227	0.09556865105
228	0.09484342869
229	0.09449812737
230	0.0944398101
231	0.09438259931
232	0.09366109158
233	0.09354104022
234	0.09281579597
235	0.09276417742
236	0.09270732466
237	0.09265649091
238	0.09203294734
239	0.09190954624
240	0.09184433069
241	0.09176706867
242	0.09112418691
243	0.0903722407
244	0.08967623423
245	0.08874943769
246	0.08810951334
247	0.08795376621
248	0.08790762821
249	0.08779513246
250	0.08734226682
251	0.08659302728
252	0.08600856525
253	0.08542832746
254	0.08536770512
255	0.08524793392
256	0.08470307552
257	0.083849455
258	0.08315435337
259	0.08309196941
260	0.08256697283
261	0.08246835496
262	0.08181776981
263	0.08159503039
264	0.08111938685
265	0.08051916051
266	0.08030409448
267	0.08026640556
268	0.08021894667
269	0.08015126683
270	0.07956524388
271	0.07952097609
272	0.07881762944
273	0.07834655549
274	0.07800097422
275	0.07747408112
276	0.07690392703
277	0.07623914841
278	0.07577094961
279	0.07539485831
280	0.07482782147
281	0.07465316055
282	0.0740539121
283	0.0732698015
284	0.07317468081
285	0.07314005409
286	0.07281598991
287	0.07278430845
288	0.07208003561
289	0.07160033872
290	0.07118137221
291	0.07070497233
292	0.07031770907
293	0.06996500193
294	0.06964612927
295	0.06960818994
296	0.06914056989
297	0.06865969461
298	0.06857952038
299	0.06848077689
300	0.06834187791
301	0.06792924574
302	0.067469599
303	0.06688737297
304	0.06674352517
305	0.06639261736
306	0.06608945033
307	0.06589109756
308	0.06554453739
309	0.06551607555
310	0.06509049146
311	0.06503687611
312	0.06487509158
313	0.06465587582
314	0.06463039342
315	0.06460268787
316	0.06427650003
317	0.06384119084
318	0.06381530463
319	0.06370412401
320	0.06364645064
321	0.06320136178
322	0.06302986846
323	0.0629177154
324	0.06289494971
325	0.06270898793
326	0.06243512648
327	0.06238940047
328	0.062367827
329	0.0618879514
330	0.06159430206
331	0.06132567362
332	0.06126959041
333	0.0608498756
334	0.06045196344
335	0.06042959087
336	0.06016578378
337	0.05990521405
338	0.05988462524
339	0.05950755231
340	0.05905406735
341	0.05858307111
342	0.05831832526
343	0.05829864321
344	0.058202611
345	0.05818016386
346	0.05813053785
347	0.05796771999
348	0.05782486245
349	0.05779957912
350	0.05767898163
351	0.05725206812
352	0.05672674935
353	0.05670549801
354	0.05667306434
355	0.05661683446
356	0.05637435413
357	0.05635684155
358	0.05611483509
359	0.05580030346
360	0.05566184022
361	0.05539137984
362	0.05516836358
363	0.05495877377
364	0.05467102589
365	0.05427049065
366	0.0540500009
367	0.05375062239
368	0.0534699282
369	0.05309766124
370	0.05283636734
371	0.05271375277
372	0.05252021527
373	0.05214133374
374	0.05183854538
375	0.05150478679
376	0.05129551705
377	0.0512426452
378	0.0508842467
379	0.05063066801
380	0.05033211252
381	0.05015197403
382	0.04986485479
383	0.0495707915
384	0.04927738057
385	0.04901358506
386	0.04878233875
387	0.04854513411
388	0.04852474345
389	0.048504925
390	0.04835474367
391	0.04810977066
392	0.04794043086
393	0.04771420177
394	0.04749585279
395	0.04747697899
396	0.04728009575
397	0.04722838549
398	0.04689074078
399	0.0466136386
400	0.04646515224
401	0.04625468392
402	0.0460195688
403	0.04593102884
404	0.04576615797
405	0.04550640179
406	0.04540752159
407	0.04512786538
408	0.04482805575
409	0.04464203998
410	0.04460732889
411	0.04459374156
412	0.04443161861
413	0.04431471317
414	0.04430072754
415	0.04428751753
416	0.04427439739
417	0.04425905424
418	0.04423814967
419	0.04422006929
420	0.04410867941
421	0.04409637549
422	0.04396991727
423	0.04393323711
424	0.04368354759
425	0.0434263524
426	0.04316807414
427	0.04286944369
428	0.04285471415
429	0.04273348286
430	0.04255074588
431	0.04240591114
432	0.04216180347
433	0.04202725277
434	0.0418191372
435	0.04172316629
436	0.04140610854
437	0.04130653837
438	0.04129520804
439	0.04127767545
440	0.04124371983
441	0.04118855637
442	0.040984117
443	0.04082144428
444	0.04070815597
445	0.04068777713
446	0.04045183619
447	0.04026792315
448	0.04016998138
449	0.04002662764
450	0.03980777877
451	0.03972396776
452	0.0397120236
453	0.03962593977
454	0.03939709059
455	0.03920417118
456	0.03919272944
457	0.03909080876
458	0.03892124799
459	0.03882229934
460	0.03880925965
461	0.03875370169
462	0.03864175957
463	0.03848403501
464	0.03829909304
465	0.03823688343
466	0.03822447154
467	0.03821450251
468	0.0380815317
469	0.03795852064
470	0.03787773063
471	0.03784901104
